,author,statement,date,source,target
0,Maria Briceño,Los incendios en California “han llegado a Tijuana en la entrada de villa del campo en los cerros”.,"13, January 2025",Facebook posts,false
1,Jeff Cercone,Video shows people in Los Angeles looting from homes during wildfires.,"13, January 2025",Instagram posts,pants-fire
2,Sofia Ahmed,A photo shows a Christian’s home that “miraculously survived Los Angeles wildfire.”,"13, January 2025",Facebook posts,false
3,Ciara O'Rourke,Image shows former President Barack Obama was born in Kenya.,"13, January 2025",Threads posts,pants-fire
4,Maria Briceño,Esta imagen muestra los incendios en California de enero 2025.,"13, January 2025",Facebook posts,false
5,Madison Czopek,“Blue items that survive” California wildfires are “indicative of DEW's (Directed Energy Weapons).”,"10, January 2025",Threads posts,false
6,Maria Briceño,Imagen muestra el letrero de Hollywood en California en llamas el 8 de enero de 2025.,"10, January 2025",Facebook posts,false
7,Loreben Tuquero,Video shows a man saving a bunny during the 2025 Los Angeles fires.,"10, January 2025",Facebook posts,false
8,Loreben Tuquero,Image shows the Hollywood sign was on fire as of Jan. 8.,"10, January 2025",Social Media,false
9,Ciara O'Rourke,Video shows Dr. Mehmet Oz and rapper Snoop Dogg promoting treatment for chronic lung diseases.”,"10, January 2025",Viral image,false
10,Ciara O'Rourke,Video shows directed energy weapons starting fires in California.,"10, January 2025",X posts,false
11,Ciara O'Rourke,McQueen High School in Nevada issued a “masturbation notice” to students.,"10, January 2025",Viral image,false
12,Ciara O'Rourke,Actor Tom Hanks died in a “fatal car accident.”,"10, January 2025",Viral image,false
13,Kwasi Gyamfi,“FEMA spent billions on illegal immigrants and now has no money for California!”,"January • 10,",X posts,pants-fire
14,Maria Briceño,California wildfires “are a deliberate criminal land grab in preparation for Agenda 2030 and smart cities.”,"9, January 2025",Threads posts,false
15,Loreben Tuquero,"“Beyoncé alleges Diddy has been secretly hiding Michael Jackson, who faked his death.”","9, January 2025",Facebook posts,pants-fire
16,Sara Swann,The Los Angeles Police Department is “looking for three ‘persons of interest’ all tied to a MAGA website who were spotted at the source of all three major LA fires.”,"9, January 2025",Threads posts,false
17,Marta Campabadal,“China declara estado de emergencia por brote masivo de virus mortales”.,"January • 9,",Instagram posts,false
18,Amy Sherman,"H-1B guest workers are “being employed as dog trainers, massage therapists, cooks, and English teachers.”","9, January 2025",Bernie Sanders,barely-true
19,Marta Campabadal,"""Acaban declarar inocente a Sebastian Zapeta”, el hombre acusado de prender en llamas a una mujer en el metro de Nueva York.","January • 9,",Facebook posts,false
20,Ciara O'Rourke,"Says Elon Musk said, “The Boeing Starliner’s stranded astronauts are not with us anymore,” and “they won’t come back.”","8, January 2025",Facebook posts,false
21,Ciara O'Rourke,“Mark Cuban shifts company from Texas to California: ‘Can’t operate in red states.’”,"8, January 2025",Threads posts,false
22,Caleb McCullough,"After Donald Trump offered to buy Greenland, “Denmark clapped back saying they’d buy the USA, give us free healthcare, and actually make America great again.”","8, January 2025",Threads posts,false
23,Madison Czopek,“DEAL DONE: New Orleans Saints owner Gayle Benson make(s) a handshake deal of $789.5 million contract with former Saints QB Drew Brees as new general manager following Mickey Loomis departure…”,"8, January 2025",Facebook posts,false
24,Ciara O'Rourke,Video shows Sean “Diddy” Combs “riding a bike in jail.”,"8, January 2025",Viral image,false
25,Loreben Tuquero,"President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”","7, January 2025",Grok AI,pants-fire
26,Sara Swann,China has “a mystery disease outbreak” and has declared a “state of emergency.”,"7, January 2025",Instagram posts,false
27,Amy Sherman,“They’re still counting the (2024 election) vote in some areas.”,"7, January 2025",Donald Trump,false
28,Loreben Tuquero,“Elon Musk has just acquired Boeing.”,"7, January 2025",Facebook posts,false
29,Ciara O'Rourke,"Video shows U.S. Rep. Nancy Pelosi, D-Calif., falling.","7, January 2025",Viral image,false
30,Caleb McCullough,"Mike McCarthy “to take over as Head Coach for the San Francisco 49ers.""","7, January 2025",Facebook posts,false
31,Maria Briceño,"El doctor Juan Rivera revela ""un nuevo truco natural"" con ajo y limón para la diabetes.","7, January 2025",Facebook posts,false
32,Paul Specht,"Mitchell County, North Carolina, sheriff’s deputies “stole” generators intended for Hurricane Helene victims.","6, January 2025",TikTok posts,false
33,Kwasi Gyamfi,“They still haven’t cracked” Thomas Matthew Crooks’ phone.,"January • 6,",Instagram posts,false
34,Caleb McCullough,Photo shows a child “found” in several cities.,"6, January 2025",Facebook posts,false
35,Ciara O'Rourke,“22 states will not be certifying the (2024) election.”,"6, January 2025",Threads posts,false
36,Madison Czopek,"“BREAKING: A second attack in New Orleans has been uncovered, police are searching.”","6, January 2025",Facebook posts,false
37,D.L. Davis,"“Trump won 18-to-24-year-olds in Wisconsin.""","6, January 2025",Social Media,half-true
38,Marta Campabadal,"""En Shanghai, se incendió ayer una bodega de la firma Temu”.","January • 3,",Facebook posts,false
39,Maria Briceño,“Ella es Amelia Carter un hombre le prendió fuego mientras dormía en el tren de Nueva York”.,"3, January 2025",Facebook posts,false
40,Sara Swann,Photo shows a large Temu warehouse in China “went up in flames.”,"3, January 2025",Social Media,false
41,Loreben Tuquero,"Video shows “Fort Worth, Texas pileup, January (1st), 2025.”","3, January 2025",Instagram posts,false
42,Grace Abels,"Queen Consort Camilla revealed that she was ""born a man.”","2, January 2025",Facebook posts,pants-fire
43,Maria Briceño,“The subway burning victim's name was Amelia Carter.”,"2, January 2025",Facebook posts,false
44,Madeline Heim,“There's never been a placebo-controlled study on childhood vaccines.”,"2, January 2025",Ron Johnson,false
45,Caleb McCullough,"“The true nature of cancer is a parasite, hence why, Ivermectin, in conjunction with mebendazole, and (fenbendazole) is so effective.”","30, December 2024",Facebook posts,false
46,Sofia Ahmed,Video shows CNN reporting that Pfizer representatives set Barbara O’Neill’s car on fire “for discovering an anti-diabetes method.”,"30, December 2024",Facebook posts,false
47,Sofia Ahmed,"RFK Jr. posted on X that, “Effective January 20th, all Genetically Modified Organisms (GMOs) will be BANNED in the United States.”","30, December 2024",Instagram posts,false
48,Madison Czopek,"President Jimmy Carter verbatim said, “evangelical Christianity has been hijacked by people who would have given Jesus himself the boot if he knocked on their door.”","30, December 2024",Threads posts,false
49,Caleb McCullough,“Bill Gates will be implanting digital IDs in newborns in Kenya.”,"30, December 2024",Instagram posts,false
50,Caleb McCullough,“The referees in the (Dec. 15) game between the Philadelphia Eagles and the Pittsburgh Steelers have been suspended after the match revealed that the officials overlooked numerous errors by the Eagles.”,"30, December 2024",Facebook posts,false
51,Jill Terreri,"We’ve created 732,000 jobs since I've been governor.","December • 26,",Kathy Hochul,mostly-true
52,Sofia Ahmed,"Residents in states across the U.S. are eligible for a $2,200 holiday stimulus payment.","20, December 2024",Facebook posts,false
53,Ciara O'Rourke,Video shows Dr. Mehmet Oz and singer Reba McEntire promoting treatment for chronic lung diseases.,"20, December 2024",Viral image,false
54,Ciara O'Rourke,The NFL punished three referees in “the game between the Atlanta Falcons and the Minnesota Vikings.”,"20, December 2024",Facebook posts,false
55,Ciara O'Rourke,"Image shows Kate, the Princess of Wales, without hair.","20, December 2024",Viral image,false
